study_id,cohort,task,stage,view,run_id,arm,pair_id,n_total,m,vendi,subset_low,subset_high,n_subsets
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,analogy,jubias-pair-001,7,2,1.302331874487734,1.143998571170422,1.4809087500094522,21
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,baseline,jubias-pair-001,11,2,1.2744528726239133,1.1501440267876972,1.3752720031774546,55
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,analogy,jubias-pair-002,17,2,1.2238082068643044,1.1347562139764593,1.3168550811324253,136
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,baseline,jubias-pair-002,9,2,1.2484882363795575,1.1177666912216082,1.4977023459026613,36
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,analogy,jubias-pair-003,10,2,1.2802762976712831,1.1410668977622511,1.6298412410209435,45
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,baseline,jubias-pair-003,17,2,1.1795567162415919,1.1131698851319467,1.2624732453755736,136
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,analogy,jubias-pair-001,7,3,1.4643130265406572,1.247507970740148,1.5799612414601574,35
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,baseline,jubias-pair-001,11,3,1.426703170450521,1.2835071332561614,1.5595739817814889,165
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-002-analogy-750393d4-d146-487c-8f0f-f0ff710ff006,analogy,jubias-pair-002,17,3,1.3430642763789051,1.2325239975811952,1.4551430283319144,680
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-002-baseline-97784c12-1daf-4f23-930a-3c856920f958,baseline,jubias-pair-002,9,3,1.3797912789673696,1.2081119422339472,1.6185945668730584,84
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-analogy-289ef6cc-7122-4b20-a6df-6da2767d0636,analogy,jubias-pair-003,10,3,1.429900327242452,1.2380765672914489,1.7280264949893744,120
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-003-baseline-529c8229-3944-4383-ad99-83c2b9d671d1,baseline,jubias-pair-003,17,3,1.2711950514869423,1.1818495099361803,1.3471879887202485,680
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-analogy-256b6bd9-6a19-4ffb-ba27-6df516483f0b,analogy,jubias-pair-001,7,4,1.56995333309328,1.408706991146191,1.6614777499482927,35
jubias,230f38543aaf,jigsaw-unintended-bias-in-toxicity-classification,solution,implementation,jubias-pair-001-baseline-44e0ae1e-6af8-43bd-a941-c7d230dca3f7,baseline,jubias-pair-001,11,4,1.5293942415969988,1.3976135831826715,1.6531309510908632,330
