Artifact dir: /workspace/autoresearch/results/20260919_013651-baseline/exp000-baseline
Rows: train=1,714,630 validation=90,244
Vocab size: 50,304
Tokenized in 123.8s | mean train length: 66.7 | truncated: 0.23%
Model config: {'sequence_len': 256, 'vocab_size': 50304, 'n_layer': 10, 'n_head': 10, 'n_embd': 640, 'dropout': 0.1}
Parameter counts:
  wte                     : 32,194,560
  head                    : 641
  transformer_matrices    : 49,152,000
  total                   : 81,347,201
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Steps per epoch: 6,697 | total steps: 26,788
step 00000 (0.0%) | loss: 0.373768 | lrm: 0.00 | dt: 2373ms | epoch: 0 | elapsed: 2s | remaining: 63576s
step 00050 (0.2%) | loss: 0.385706 | lrm: 0.09 | dt: 381ms | epoch: 0 | elapsed: 21s | remaining: 11228s
step 00100 (0.4%) | loss: 0.351633 | lrm: 0.19 | dt: 241ms | epoch: 0 | elapsed: 33s | remaining: 8844s
step 00150 (0.6%) | loss: 0.338905 | lrm: 0.28 | dt: 257ms | epoch: 0 | elapsed: 46s | remaining: 8169s
step 00200 (0.7%) | loss: 0.324318 | lrm: 0.37 | dt: 277ms | epoch: 0 | elapsed: 60s | remaining: 7960s
step 00250 (0.9%) | loss: 0.308240 | lrm: 0.47 | dt: 258ms | epoch: 0 | elapsed: 73s | remaining: 7726s
step 00300 (1.1%) | loss: 0.300300 | lrm: 0.56 | dt: 264ms | epoch: 0 | elapsed: 86s | remaining: 7590s
step 00350 (1.3%) | loss: 0.299409 | lrm: 0.65 | dt: 243ms | epoch: 0 | elapsed: 98s | remaining: 7414s
step 00400 (1.5%) | loss: 0.294214 | lrm: 0.75 | dt: 218ms | epoch: 0 | elapsed: 109s | remaining: 7195s
step 00450 (1.7%) | loss: 0.285570 | lrm: 0.84 | dt: 255ms | epoch: 0 | elapsed: 122s | remaining: 7129s
step 00500 (1.9%) | loss: 0.279347 | lrm: 0.93 | dt: 260ms | epoch: 0 | elapsed: 135s | remaining: 7087s
step 00550 (2.1%) | loss: 0.275165 | lrm: 1.00 | dt: 288ms | epoch: 0 | elapsed: 149s | remaining: 7117s
step 00600 (2.2%) | loss: 0.274169 | lrm: 1.00 | dt: 257ms | epoch: 0 | elapsed: 162s | remaining: 7073s
step 00650 (2.4%) | loss: 0.272153 | lrm: 1.00 | dt: 273ms | epoch: 0 | elapsed: 176s | remaining: 7067s
step 00700 (2.6%) | loss: 0.259069 | lrm: 1.00 | dt: 299ms | epoch: 0 | elapsed: 191s | remaining: 7107s
step 00750 (2.8%) | loss: 0.266456 | lrm: 1.00 | dt: 279ms | epoch: 0 | elapsed: 205s | remaining: 7104s
step 00800 (3.0%) | loss: 0.265302 | lrm: 1.00 | dt: 286ms | epoch: 0 | elapsed: 219s | remaining: 7111s
step 00850 (3.2%) | loss: 0.262679 | lrm: 1.00 | dt: 262ms | epoch: 0 | elapsed: 232s | remaining: 7079s
step 00900 (3.4%) | loss: 0.263123 | lrm: 1.00 | dt: 322ms | epoch: 0 | elapsed: 248s | remaining: 7136s
step 00950 (3.5%) | loss: 0.258491 | lrm: 1.00 | dt: 256ms | epoch: 0 | elapsed: 261s | remaining: 7095s
step 01000 (3.7%) | loss: 0.256223 | lrm: 1.00 | dt: 239ms | epoch: 0 | elapsed: 273s | remaining: 7036s
step 01050 (3.9%) | loss: 0.257447 | lrm: 1.00 | dt: 256ms | epoch: 0 | elapsed: 286s | remaining: 7002s
step 01100 (4.1%) | loss: 0.255574 | lrm: 1.00 | dt: 254ms | epoch: 0 | elapsed: 299s | remaining: 6967s
step 01150 (4.3%) | loss: 0.257951 | lrm: 1.00 | dt: 242ms | epoch: 0 | elapsed: 311s | remaining: 6920s
step 01200 (4.5%) | loss: 0.259146 | lrm: 1.00 | dt: 263ms | epoch: 0 | elapsed: 324s | remaining: 6900s
step 01250 (4.7%) | loss: 0.257391 | lrm: 1.00 | dt: 292ms | epoch: 0 | elapsed: 338s | remaining: 6910s
step 01300 (4.9%) | loss: 0.256782 | lrm: 1.00 | dt: 261ms | epoch: 0 | elapsed: 352s | remaining: 6886s
step 01350 (5.0%) | loss: 0.258129 | lrm: 1.00 | dt: 243ms | epoch: 0 | elapsed: 364s | remaining: 6847s
step 01400 (5.2%) | loss: 0.255683 | lrm: 1.00 | dt: 250ms | epoch: 0 | elapsed: 376s | remaining: 6816s
step 01450 (5.4%) | loss: 0.258665 | lrm: 1.00 | dt: 290ms | epoch: 0 | elapsed: 391s | remaining: 6822s
step 01500 (5.6%) | loss: 0.258758 | lrm: 1.00 | dt: 271ms | epoch: 0 | elapsed: 404s | remaining: 6809s
step 01550 (5.8%) | loss: 0.258459 | lrm: 1.00 | dt: 267ms | epoch: 0 | elapsed: 418s | remaining: 6794s
step 01600 (6.0%) | loss: 0.257329 | lrm: 1.00 | dt: 261ms | epoch: 0 | elapsed: 431s | remaining: 6774s
step 01650 (6.2%) | loss: 0.258323 | lrm: 1.00 | dt: 270ms | epoch: 0 | elapsed: 444s | remaining: 6761s
step 01700 (6.3%) | loss: 0.253777 | lrm: 1.00 | dt: 246ms | epoch: 0 | elapsed: 456s | remaining: 6731s
step 01750 (6.5%) | loss: 0.253935 | lrm: 1.00 | dt: 296ms | epoch: 0 | elapsed: 471s | remaining: 6738s
step 01800 (6.7%) | loss: 0.254412 | lrm: 1.00 | dt: 231ms | epoch: 0 | elapsed: 483s | remaining: 6698s
step 01850 (6.9%) | loss: 0.253322 | lrm: 1.00 | dt: 270ms | epoch: 0 | elapsed: 496s | remaining: 6686s
step 01900 (7.1%) | loss: 0.254158 | lrm: 1.00 | dt: 277ms | epoch: 0 | elapsed: 510s | remaining: 6678s
step 01950 (7.3%) | loss: 0.253312 | lrm: 1.00 | dt: 241ms | epoch: 0 | elapsed: 522s | remaining: 6647s
step 02000 (7.5%) | loss: 0.249584 | lrm: 1.00 | dt: 242ms | epoch: 0 | elapsed: 534s | remaining: 6618s
step 02050 (7.7%) | loss: 0.249316 | lrm: 1.00 | dt: 300ms | epoch: 0 | elapsed: 549s | remaining: 6625s
step 02100 (7.8%) | loss: 0.248934 | lrm: 1.00 | dt: 216ms | epoch: 0 | elapsed: 560s | remaining: 6581s
step 02150 (8.0%) | loss: 0.246494 | lrm: 1.00 | dt: 246ms | epoch: 0 | elapsed: 572s | remaining: 6556s
step 02200 (8.2%) | loss: 0.243037 | lrm: 1.00 | dt: 289ms | epoch: 0 | elapsed: 587s | remaining: 6556s
step 02250 (8.4%) | loss: 0.244379 | lrm: 1.00 | dt: 246ms | epoch: 0 | elapsed: 599s | remaining: 6531s
step 02300 (8.6%) | loss: 0.243914 | lrm: 1.00 | dt: 266ms | epoch: 0 | elapsed: 612s | remaining: 6518s
step 02350 (8.8%) | loss: 0.243864 | lrm: 1.00 | dt: 233ms | epoch: 0 | elapsed: 624s | remaining: 6487s
step 02400 (9.0%) | loss: 0.237930 | lrm: 1.00 | dt: 228ms | epoch: 0 | elapsed: 635s | remaining: 6455s
step 02450 (9.1%) | loss: 0.239731 | lrm: 1.00 | dt: 227ms | epoch: 0 | elapsed: 647s | remaining: 6423s
step 02500 (9.3%) | loss: 0.243907 | lrm: 1.00 | dt: 247ms | epoch: 0 | elapsed: 659s | remaining: 6401s
step 02550 (9.5%) | loss: 0.249159 | lrm: 1.00 | dt: 257ms | epoch: 0 | elapsed: 672s | remaining: 6385s
step 02600 (9.7%) | loss: 0.255161 | lrm: 1.00 | dt: 265ms | epoch: 0 | elapsed: 685s | remaining: 6372s
step 02650 (9.9%) | loss: 0.256396 | lrm: 1.00 | dt: 236ms | epoch: 0 | elapsed: 697s | remaining: 6347s
step 02700 (10.1%) | loss: 0.257294 | lrm: 1.00 | dt: 249ms | epoch: 0 | elapsed: 710s | remaining: 6328s
step 02750 (10.3%) | loss: 0.252222 | lrm: 1.00 | dt: 257ms | epoch: 0 | elapsed: 722s | remaining: 6312s
step 02800 (10.5%) | loss: 0.250601 | lrm: 1.00 | dt: 267ms | epoch: 0 | elapsed: 736s | remaining: 6301s
step 02850 (10.6%) | loss: 0.251453 | lrm: 1.00 | dt: 290ms | epoch: 0 | elapsed: 750s | remaining: 6299s
step 02900 (10.8%) | loss: 0.252922 | lrm: 1.00 | dt: 234ms | epoch: 0 | elapsed: 762s | remaining: 6274s
step 02950 (11.0%) | loss: 0.259627 | lrm: 1.00 | dt: 276ms | epoch: 0 | elapsed: 776s | remaining: 6266s
step 03000 (11.2%) | loss: 0.259691 | lrm: 1.00 | dt: 229ms | epoch: 0 | elapsed: 787s | remaining: 6240s
step 03050 (11.4%) | loss: 0.256594 | lrm: 1.00 | dt: 277ms | epoch: 0 | elapsed: 801s | remaining: 6232s
step 03100 (11.6%) | loss: 0.258150 | lrm: 1.00 | dt: 249ms | epoch: 0 | elapsed: 813s | remaining: 6214s
step 03150 (11.8%) | loss: 0.258520 | lrm: 1.00 | dt: 324ms | epoch: 0 | elapsed: 830s | remaining: 6224s
step 03200 (11.9%) | loss: 0.252248 | lrm: 1.00 | dt: 237ms | epoch: 0 | elapsed: 842s | remaining: 6201s
step 03250 (12.1%) | loss: 0.253571 | lrm: 1.00 | dt: 223ms | epoch: 0 | elapsed: 853s | remaining: 6173s
step 03300 (12.3%) | loss: 0.253673 | lrm: 1.00 | dt: 278ms | epoch: 0 | elapsed: 867s | remaining: 6166s
step 03350 (12.5%) | loss: 0.248776 | lrm: 1.00 | dt: 285ms | epoch: 0 | elapsed: 881s | remaining: 6161s
step 03400 (12.7%) | loss: 0.245960 | lrm: 1.00 | dt: 224ms | epoch: 0 | elapsed: 892s | remaining: 6134s
step 03450 (12.9%) | loss: 0.245610 | lrm: 1.00 | dt: 254ms | epoch: 0 | elapsed: 905s | remaining: 6118s
step 03500 (13.1%) | loss: 0.247688 | lrm: 1.00 | dt: 233ms | epoch: 0 | elapsed: 916s | remaining: 6095s
step 03550 (13.3%) | loss: 0.248223 | lrm: 1.00 | dt: 241ms | epoch: 0 | elapsed: 928s | remaining: 6075s
step 03600 (13.4%) | loss: 0.248403 | lrm: 1.00 | dt: 267ms | epoch: 0 | elapsed: 942s | remaining: 6064s
step 03650 (13.6%) | loss: 0.249093 | lrm: 1.00 | dt: 261ms | epoch: 0 | elapsed: 955s | remaining: 6051s
step 03700 (13.8%) | loss: 0.243901 | lrm: 1.00 | dt: 220ms | epoch: 0 | elapsed: 966s | remaining: 6025s
step 03750 (14.0%) | loss: 0.246276 | lrm: 1.00 | dt: 249ms | epoch: 0 | elapsed: 978s | remaining: 6008s
step 03800 (14.2%) | loss: 0.247356 | lrm: 1.00 | dt: 275ms | epoch: 0 | elapsed: 992s | remaining: 5999s
step 03850 (14.4%) | loss: 0.246716 | lrm: 1.00 | dt: 240ms | epoch: 0 | elapsed: 1004s | remaining: 5980s
step 03900 (14.6%) | loss: 0.246882 | lrm: 1.00 | dt: 253ms | epoch: 0 | elapsed: 1017s | remaining: 5964s
step 03950 (14.7%) | loss: 0.250411 | lrm: 1.00 | dt: 241ms | epoch: 0 | elapsed: 1029s | remaining: 5946s
step 04000 (14.9%) | loss: 0.248012 | lrm: 1.00 | dt: 239ms | epoch: 0 | elapsed: 1041s | remaining: 5927s
step 04050 (15.1%) | loss: 0.245107 | lrm: 1.00 | dt: 238ms | epoch: 0 | elapsed: 1053s | remaining: 5908s
step 04100 (15.3%) | loss: 0.242495 | lrm: 1.00 | dt: 271ms | epoch: 0 | elapsed: 1066s | remaining: 5898s
step 04150 (15.5%) | loss: 0.246650 | lrm: 1.00 | dt: 262ms | epoch: 0 | elapsed: 1079s | remaining: 5885s
step 04200 (15.7%) | loss: 0.247160 | lrm: 1.00 | dt: 216ms | epoch: 0 | elapsed: 1090s | remaining: 5860s
step 04250 (15.9%) | loss: 0.249090 | lrm: 1.00 | dt: 266ms | epoch: 0 | elapsed: 1103s | remaining: 5849s
step 04300 (16.1%) | loss: 0.251869 | lrm: 1.00 | dt: 247ms | epoch: 0 | elapsed: 1116s | remaining: 5833s
step 04350 (16.2%) | loss: 0.253949 | lrm: 1.00 | dt: 193ms | epoch: 0 | elapsed: 1125s | remaining: 5803s
step 04400 (16.4%) | loss: 0.243214 | lrm: 1.00 | dt: 226ms | epoch: 0 | elapsed: 1137s | remaining: 5782s
step 04450 (16.6%) | loss: 0.237301 | lrm: 1.00 | dt: 259ms | epoch: 0 | elapsed: 1150s | remaining: 5769s
step 04500 (16.8%) | loss: 0.238715 | lrm: 1.00 | dt: 247ms | epoch: 0 | elapsed: 1162s | remaining: 5753s
step 04550 (17.0%) | loss: 0.238993 | lrm: 1.00 | dt: 229ms | epoch: 0 | elapsed: 1173s | remaining: 5733s
step 04600 (17.2%) | loss: 0.238386 | lrm: 1.00 | dt: 257ms | epoch: 0 | elapsed: 1186s | remaining: 5720s
step 04650 (17.4%) | loss: 0.243781 | lrm: 1.00 | dt: 242ms | epoch: 0 | elapsed: 1198s | remaining: 5703s
step 04700 (17.5%) | loss: 0.235926 | lrm: 1.00 | dt: 231ms | epoch: 0 | elapsed: 1210s | remaining: 5684s
step 04750 (17.7%) | loss: 0.239736 | lrm: 1.00 | dt: 287ms | epoch: 0 | elapsed: 1224s | remaining: 5678s
step 04800 (17.9%) | loss: 0.244015 | lrm: 1.00 | dt: 245ms | epoch: 0 | elapsed: 1236s | remaining: 5662s
step 04850 (18.1%) | loss: 0.245273 | lrm: 1.00 | dt: 232ms | epoch: 0 | elapsed: 1248s | remaining: 5644s
step 04900 (18.3%) | loss: 0.234747 | lrm: 1.00 | dt: 262ms | epoch: 0 | elapsed: 1261s | remaining: 5632s
step 04950 (18.5%) | loss: 0.234696 | lrm: 1.00 | dt: 251ms | epoch: 0 | elapsed: 1274s | remaining: 5618s
step 05000 (18.7%) | loss: 0.238020 | lrm: 1.00 | dt: 263ms | epoch: 0 | elapsed: 1287s | remaining: 5606s
step 05050 (18.9%) | loss: 0.238238 | lrm: 1.00 | dt: 242ms | epoch: 0 | elapsed: 1299s | remaining: 5590s
step 05100 (19.0%) | loss: 0.232287 | lrm: 1.00 | dt: 285ms | epoch: 0 | elapsed: 1313s | remaining: 5583s
step 05150 (19.2%) | loss: 0.232224 | lrm: 1.00 | dt: 264ms | epoch: 0 | elapsed: 1326s | remaining: 5572s
step 05200 (19.4%) | loss: 0.234763 | lrm: 1.00 | dt: 243ms | epoch: 0 | elapsed: 1339s | remaining: 5556s
step 05250 (19.6%) | loss: 0.233773 | lrm: 1.00 | dt: 249ms | epoch: 0 | elapsed: 1351s | remaining: 5541s
step 05300 (19.8%) | loss: 0.231420 | lrm: 1.00 | dt: 236ms | epoch: 0 | elapsed: 1363s | remaining: 5524s
step 05350 (20.0%) | loss: 0.231298 | lrm: 1.00 | dt: 250ms | epoch: 0 | elapsed: 1375s | remaining: 5510s
step 05400 (20.2%) | loss: 0.234822 | lrm: 1.00 | dt: 249ms | epoch: 0 | elapsed: 1388s | remaining: 5495s
step 05450 (20.3%) | loss: 0.238122 | lrm: 1.00 | dt: 224ms | epoch: 0 | elapsed: 1399s | remaining: 5476s
step 05500 (20.5%) | loss: 0.236416 | lrm: 1.00 | dt: 265ms | epoch: 0 | elapsed: 1412s | remaining: 5465s
step 05550 (20.7%) | loss: 0.236111 | lrm: 1.00 | dt: 214ms | epoch: 0 | elapsed: 1423s | remaining: 5444s
step 05600 (20.9%) | loss: 0.239108 | lrm: 1.00 | dt: 219ms | epoch: 0 | elapsed: 1434s | remaining: 5424s
step 05650 (21.1%) | loss: 0.236476 | lrm: 1.00 | dt: 262ms | epoch: 0 | elapsed: 1447s | remaining: 5412s
step 05700 (21.3%) | loss: 0.238457 | lrm: 1.00 | dt: 226ms | epoch: 0 | elapsed: 1458s | remaining: 5394s
step 05750 (21.5%) | loss: 0.242021 | lrm: 1.00 | dt: 225ms | epoch: 0 | elapsed: 1469s | remaining: 5375s
step 05800 (21.7%) | loss: 0.240513 | lrm: 1.00 | dt: 270ms | epoch: 0 | elapsed: 1483s | remaining: 5365s
step 05850 (21.8%) | loss: 0.238262 | lrm: 1.00 | dt: 265ms | epoch: 0 | elapsed: 1496s | remaining: 5354s
step 05900 (22.0%) | loss: 0.238270 | lrm: 1.00 | dt: 248ms | epoch: 0 | elapsed: 1509s | remaining: 5340s
step 05950 (22.2%) | loss: 0.240956 | lrm: 1.00 | dt: 289ms | epoch: 0 | elapsed: 1523s | remaining: 5333s
step 06000 (22.4%) | loss: 0.240829 | lrm: 1.00 | dt: 264ms | epoch: 0 | elapsed: 1536s | remaining: 5321s
step 06050 (22.6%) | loss: 0.241854 | lrm: 1.00 | dt: 210ms | epoch: 0 | elapsed: 1547s | remaining: 5301s
step 06100 (22.8%) | loss: 0.240590 | lrm: 1.00 | dt: 231ms | epoch: 0 | elapsed: 1558s | remaining: 5284s
step 06150 (23.0%) | loss: 0.242215 | lrm: 1.00 | dt: 309ms | epoch: 0 | elapsed: 1574s | remaining: 5280s
step 06200 (23.1%) | loss: 0.245185 | lrm: 1.00 | dt: 211ms | epoch: 0 | elapsed: 1584s | remaining: 5260s
step 06250 (23.3%) | loss: 0.246393 | lrm: 1.00 | dt: 265ms | epoch: 0 | elapsed: 1598s | remaining: 5248s
step 06300 (23.5%) | loss: 0.239523 | lrm: 1.00 | dt: 233ms | epoch: 0 | elapsed: 1609s | remaining: 5232s
step 06350 (23.7%) | loss: 0.235460 | lrm: 1.00 | dt: 246ms | epoch: 0 | elapsed: 1621s | remaining: 5218s
step 06400 (23.9%) | loss: 0.234069 | lrm: 1.00 | dt: 278ms | epoch: 0 | elapsed: 1635s | remaining: 5209s
step 06450 (24.1%) | loss: 0.237562 | lrm: 1.00 | dt: 266ms | epoch: 0 | elapsed: 1649s | remaining: 5197s
step 06500 (24.3%) | loss: 0.241271 | lrm: 1.00 | dt: 251ms | epoch: 0 | elapsed: 1661s | remaining: 5184s
step 06550 (24.5%) | loss: 0.246619 | lrm: 1.00 | dt: 248ms | epoch: 0 | elapsed: 1674s | remaining: 5170s
step 06600 (24.6%) | loss: 0.248940 | lrm: 1.00 | dt: 280ms | epoch: 0 | elapsed: 1688s | remaining: 5161s
step 06650 (24.8%) | loss: 0.249167 | lrm: 1.00 | dt: 288ms | epoch: 0 | elapsed: 1702s | remaining: 5153s
epoch 1 done | step 06697 | val_score: 0.903576
step 06700 (25.0%) | loss: 0.241502 | lrm: 1.00 | dt: 864ms | epoch: 1 | elapsed: 1745s | remaining: 5231s
step 06750 (25.2%) | loss: 0.243440 | lrm: 1.00 | dt: 246ms | epoch: 1 | elapsed: 1757s | remaining: 5216s
step 06800 (25.4%) | loss: 0.242142 | lrm: 1.00 | dt: 251ms | epoch: 1 | elapsed: 1770s | remaining: 5202s
step 06850 (25.6%) | loss: 0.242014 | lrm: 1.00 | dt: 192ms | epoch: 1 | elapsed: 1780s | remaining: 5179s
step 06900 (25.8%) | loss: 0.240302 | lrm: 1.00 | dt: 221ms | epoch: 1 | elapsed: 1791s | remaining: 5160s
step 06950 (25.9%) | loss: 0.242889 | lrm: 1.00 | dt: 291ms | epoch: 1 | elapsed: 1805s | remaining: 5152s
step 07000 (26.1%) | loss: 0.246305 | lrm: 1.00 | dt: 264ms | epoch: 1 | elapsed: 1818s | remaining: 5139s
step 07050 (26.3%) | loss: 0.245335 | lrm: 1.00 | dt: 222ms | epoch: 1 | elapsed: 1830s | remaining: 5121s
step 07100 (26.5%) | loss: 0.248415 | lrm: 1.00 | dt: 261ms | epoch: 1 | elapsed: 1843s | remaining: 5108s
step 07150 (26.7%) | loss: 0.250704 | lrm: 1.00 | dt: 245ms | epoch: 1 | elapsed: 1855s | remaining: 5093s
step 07200 (26.9%) | loss: 0.250196 | lrm: 1.00 | dt: 270ms | epoch: 1 | elapsed: 1868s | remaining: 5082s
step 07250 (27.1%) | loss: 0.250811 | lrm: 1.00 | dt: 265ms | epoch: 1 | elapsed: 1882s | remaining: 5070s
